app,module,source_text,current_translation,proposed_translation,context,source_reference,doctype_or_view,field_or_action,translation_context,status,notes,msgctxt,origin_app,po_reference,v15_reference,placeholders,pluralization,v15_translation,es_mx_reference,es_mx_translation,source_kind,user_role,functional_domain
hrms,Hr,Employee Onboarding,Empleado de Abordo,Alta de Empleado,Recursos Humanos,hrms/hr/doctype/employee_onboarding/employee_onboarding.json,Employee Onboarding,DocType/proceso,,existente mejorable,MX: 'Alta de Empleado' (proceso de incorporación).,,hrms,hrms/hr/doctype/employee_onboarding/employee_onboarding.json,hrms/translations/es.csv,,,Empleado de Abordo,,,doctype-json,rrhh,Recursos Humanos
hrms,Hr,Job Applicant,,Candidato,Reclutamiento,hrms/hr/doctype/appointment_letter/appointment_letter.json,Appointment Letter,DocType,,traducción propuesta,,,hrms,hrms/hr/doctype/appointment_letter/appointment_letter.json,,,,,,,doctype-json,rrhh,Reclutamiento
hrms,Hr,Appraisal,Evaluación,Evaluación de Desempeño,Recursos Humanos,hrms/hr/doctype/appraisal/appraisal.json,Appraisal,DocType,,existente mejorable,,,hrms,hrms/hr/doctype/appraisal/appraisal.json,hrms/translations/es.csv,,,Evaluación,,,doctype-json,rrhh,Recursos Humanos
hrms,,Timesheet,,Hoja de Tiempo,Recursos Humanos,,,DocType,,traducción propuesta,MX: 'Hoja de Tiempo' o 'Registro de Horas'.,,hrms,,hrms/translations/es.csv,,,Registro de Horas,,,no-encontrada-en-catalogo,rrhh,Recursos Humanos
hrms,Hr,Leave Allocation,Asignación de vacaciones,Asignación de Ausencias,Recursos Humanos,hrms/hr/doctype/compensatory_leave_request/compensatory_leave_request.json,Compensatory Leave Request,DocType,,existente mejorable,Coherente con 'Leave'='Ausencia'.,,hrms,hrms/hr/doctype/compensatory_leave_request/compensatory_leave_request.json,hrms/translations/es.csv,,,Asignación de vacaciones,,,doctype-json,rrhh,Recursos Humanos
helpdesk,Src,Ticket,,Ticket,Mesa de Ayuda,desk/src/components/layouts/Sidebar.vue:611,,DocType/título,,ambigua,AMBIGUA de estilo: 'Ticket' (anglicismo aceptado en MX) vs 'Caso'. Requiere decisión de estilo.,,helpdesk,desk/src/components/layouts/Sidebar.vue:611,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,Src,Agent,Agente,Agente,Mesa de Ayuda,desk/src/components/layouts/Sidebar.vue:612,,DocType/rol,,existente correcta,,,helpdesk,desk/src/components/layouts/Sidebar.vue:612,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,Src,Team,Equipo,Equipo,Mesa de Ayuda,desk/src/components/Settings/SavedReplies/SavedRepliesList.vue:374,,DocType,,existente correcta,,,helpdesk,desk/src/components/Settings/SavedReplies/SavedRepliesList.vue:374,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,Src,Priority,Prioridad,Prioridad,Mesa de Ayuda,desk/src/components/Settings/Assignment,,campo,,existente correcta,,,helpdesk,desk/src/components/Settings/Assignment,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,Src,Status,Estado,Estado,Mesa de Ayuda,desk/src/pages/SearchAgent.vue:59,,campo,,existente correcta,,,helpdesk,desk/src/pages/SearchAgent.vue:59,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,Helpdesk,Open,Abrir,Abierto,Mesa de Ayuda,helpdesk/helpdesk/doctype/hd_ticket_status/hd_ticket_status.json,Hd Ticket Status,estado,,existente mejorable,Estado de ticket.,,helpdesk,helpdesk/helpdesk/doctype/hd_ticket_status/hd_ticket_status.json,,,,,,,doctype-json,soporte,Mesa de Ayuda
helpdesk,Helpdesk,Resolved,Resuelto,Resuelto,Mesa de Ayuda,helpdesk/helpdesk/doctype/hd_ticket_status/hd_ticket_status.json,Hd Ticket Status,estado,,existente correcta,,,helpdesk,helpdesk/helpdesk/doctype/hd_ticket_status/hd_ticket_status.json,,,,,,,doctype-json,soporte,Mesa de Ayuda
helpdesk,Src,Reply,Responder,Responder,Mesa de Ayuda,desk/src/components/EmailArea.vue:54,,botón/acción,,existente correcta,,,helpdesk,desk/src/components/EmailArea.vue:54,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,,Escalation,,Escalamiento,Mesa de Ayuda,,,campo,,traducción propuesta,MX: 'Escalamiento' (o 'Escalación'). Revisar consistencia.,,helpdesk,,,,,,,,no-encontrada-en-catalogo,soporte,Mesa de Ayuda
helpdesk,Src,Customer,Cliente,Cliente,Mesa de Ayuda,desk/src/components/desk/global/NewContactDialog.vue:141,,campo,,existente correcta,,,helpdesk,desk/src/components/desk/global/NewContactDialog.vue:141,,,,,,,code,soporte,Mesa de Ayuda
helpdesk,Helpdesk,Assign to,Asignar a,Asignar a,Mesa de Ayuda,helpdesk/helpdesk/doctype/hd_escalation_rule/hd_escalation_rule.json,Hd Escalation Rule,acción,,existente correcta,,,helpdesk,helpdesk/helpdesk/doctype/hd_escalation_rule/hd_escalation_rule.json,,,,,,,doctype-json,soporte,Mesa de Ayuda
helpdesk,Helpdesk,First Response Time,Tiempo de primera respuesta,Tiempo de Primera Respuesta,Mesa de Ayuda,helpdesk/helpdesk/doctype/hd_service_level_priority/hd_service_level_priority.json,Hd Service Level Priority,campo (SLA),,existente mejorable,,,helpdesk,helpdesk/helpdesk/doctype/hd_service_level_priority/hd_service_level_priority.json,,,,,,,doctype-json,soporte,Mesa de Ayuda
crm,Src,Deal,,Oportunidad,CRM,frontend/src/components/Calendar/CalendarEventPanel.vue:425,,DocType/título,,traducción propuesta,MX: 'Oportunidad' preferible a 'Trato'/'Negocio' para 'Deal'.,,crm,frontend/src/components/Calendar/CalendarEventPanel.vue:425,,,,,,,code,comercial,CRM
crm,Fcrm,Lead,Iniciativa,Prospecto,CRM,crm/fcrm/doctype/crm_deal/crm_deal.json,Crm Deal,DocType/título,,existente mejorable,MX: 'Prospecto' más común que 'Cliente potencial' o 'Iniciativa'.,,crm,crm/fcrm/doctype/crm_deal/crm_deal.json,,,,,,,doctype-json,comercial,CRM
crm,Fcrm,Contact,Contacto,Contacto,CRM,crm/fcrm/doctype/crm_contacts/crm_contacts.json,Crm Contacts,DocType,,existente correcta,,,crm,crm/fcrm/doctype/crm_contacts/crm_contacts.json,,,,,,,doctype-json,comercial,CRM
crm,Fcrm,Organization,Organización,Organización,CRM,crm/fcrm/doctype/crm_deal/crm_deal.json,Crm Deal,campo,,existente correcta,,,crm,crm/fcrm/doctype/crm_deal/crm_deal.json,,,,,,,doctype-json,comercial,CRM
crm,Api,Territory,Territorio,Territorio,CRM,crm/api/dashboard.py:1070,,campo,,existente correcta,,,crm,crm/api/dashboard.py:1070,,,,,,,python,comercial,CRM
crm,Fcrm,Task,Tarea,Tarea,CRM,crm/fcrm/doctype/crm_notification/crm_notification.json,Crm Notification,DocType,,existente correcta,,,crm,crm/fcrm/doctype/crm_notification/crm_notification.json,,,,,,,doctype-json,comercial,CRM
crm,Fcrm,Note,Nota,Nota,CRM,crm/fcrm/doctype/crm_call_log/crm_call_log.json,Crm Call Log,DocType,,existente correcta,,,crm,crm/fcrm/doctype/crm_call_log/crm_call_log.json,,,,,,,doctype-json,comercial,CRM
crm,Src,Close,Cerrar,Cerrar,CRM,frontend/src/components/Controls/GeolocationControl.vue:60,,botón/acción,,ambigua,AMBIGUA: 'Close' = cerrar (diálogo) vs cerrar/ganar oportunidad. Verificar uso.,,crm,frontend/src/components/Controls/GeolocationControl.vue:60,,,,,,,code,comercial,CRM
crm,Fcrm,Won,,Ganada,CRM,crm/fcrm/doctype/crm_deal_status/crm_deal_status.json,Crm Deal Status,estado,,traducción propuesta,Estado de Deal (oportunidad ganada).,,crm,crm/fcrm/doctype/crm_deal_status/crm_deal_status.json,,,,,,,doctype-json,comercial,CRM
crm,Fcrm,Lost,Perdido,Perdida,CRM,crm/fcrm/doctype/crm_deal_status/crm_deal_status.json,Crm Deal Status,estado,,existente mejorable,,,crm,crm/fcrm/doctype/crm_deal_status/crm_deal_status.json,,,,,,,doctype-json,comercial,CRM
crm,,Expected Close Date,,Fecha Estimada de Cierre,CRM,,,campo,,traducción propuesta,,,crm,,,,,,,,no-encontrada-en-catalogo,comercial,CRM
crm,Fcrm,Email,Correo electrónico,Correo,CRM,crm/fcrm/doctype/crm_contacts/crm_contacts.json,Crm Contacts,campo,,existente mejorable,MX: 'Correo' o 'Correo electrónico' preferible a 'Email' en labels.,,crm,crm/fcrm/doctype/crm_contacts/crm_contacts.json,,,,,,,doctype-json,comercial,CRM
